marca=CHANA, modelo=Family 1.0 8V 53cv (Perua), ano=2005, renavam=44189535557, placa=HYW-4380, cor=Dourado
marca=Toyota, modelo=ETIOS CROSS 1.5 Flex 16V 5p Mec., ano=2014, renavam=20567148038, placa=KGY-1123, cor=Marrom
marca=Engesa, modelo=Engesa 4x4 2.5/4.1, ano=1985, renavam=82473508413, placa=KKL-8034, cor=Dourado
marca=CHERY, modelo=CIELO Sedan 1.6 16V 119cv  4p, ano=2010, renavam=49181670367, placa=KJH-4430, cor=Verde
marca=CHANA, modelo=Cargo 1.0 8V 53cv (Pick-Up), ano=2005, renavam=82473508413, placa=KKL-8034, cor=Dourado
marca=Saturn, modelo=SL-2 1.9, ano=1991, renavam=53640135758, placa=KFV-6739, cor=Branco
marca=Peugeot, modelo=607 Sedan 3.0 V6, ano=2000, renavam=18667269013, placa=KFQ-1684, cor=Preto
marca=Maserati, modelo=Ghibli 2.0 V6, ano=1993, renavam=82473508413, placa=KKL-8034, cor=Dourado
marca=smart, modelo=fortwo coup, ano=2010, renavam=21320336568, placa=KLQ-7534, cor=Bege
marca=CHANA, modelo=Family 1.0 8V 53cv (Perua), ano=2005, renavam=07405597115, placa=CLJ-5633, cor=Amarelo
marca=Lexus, modelo=RX-350 3.5 24v 277cv Aut., ano=2013, renavam=67526392526, placa=BKY-5431, cor=Dourado
marca=CHERY, modelo=CIELO 1.6 16V 119cv  5p, ano=2010, renavam=85199623510, placa=GDV-9658, cor=Verde
marca=Lotus, modelo=Esprit S-4 2.2 16V, ano=1995, renavam=36559805986, placa=GBD-2496, cor=Branco
marca=CHERY, modelo=S-18 1.3 16V Flex Mec. 5p, ano=2010, renavam=18667269013, placa=BOR-1684, cor=Preto
marca=Renault, modelo=Master 2.8 Furg, ano=2003, renavam=18667269013, placa=BOR-1684, cor=Preto
marca=BRM, modelo=Buggy/M-8/M-8 Long 1.6, ano=1985, renavam=48287302533, placa=DJY-3098, cor=Dourado
marca=Ferrari, modelo=California 3.9 Turbo F1 V8 560cv, ano=2015, renavam=67526392526, placa=BKY-5431, cor=Dourado
marca=Plymouth, modelo=Gran Voyager LE 2.5, ano=1992, renavam=00328726125, placa=EXM-4981, cor=Laranja
marca=Mercedes-Benz, modelo=E-320, ano=1993, renavam=93099353814, placa=ECX-3782, cor=Preto
marca=BRM, modelo=Buggy W. Turing/Luxo/M-11 Absolvt 1.6 8V, ano=2005, renavam=40707925710, placa=FWL-9288, cor=Branco
marca=LAMBORGHINI, modelo=Gallardo Spyder Performante LP570-4, ano=2012, renavam=00328726125, placa=EXM-4981, cor=Laranja
marca=RAM, modelo=2500 LARAMIE SLT TROPIV. 6.7 4x4 Diesel, ano=2012, renavam=23978143425, placa=EDL-9739, cor=Verde
marca=smart, modelo=fortwo BRABUS coup, ano=2008, renavam=93099353814, placa=ECX-3782, cor=Preto
marca=Hyundai, modelo=Tucson 2.0 16V Aut., ano=2005, renavam=10665399739, placa=CFT-1100, cor=Cinza
marca=Wake, modelo=Way 1.8 Total Flex 8V Mec., ano=2009, renavam=07298823117, placa=FSU-3797, cor=Verde
marca=CHANGAN, modelo=MINI STAR CSB 1.0 8V 53cv (Pick-Up B, ano=2012, renavam=93099353814, placa=ECX-3782, cor=Preto
marca=Honda, modelo=Fit EXL 1.5 Flex 16V 5p Mec, ano=2009, renavam=36931636460, placa=CJO-7832, cor=Vermelho
marca=Alfa Romeo, modelo=156 TS/Sport/Elegant 2.0 16V, ano=1999, renavam=29734014510, placa=DFC-6837, cor=Prata
marca=Hyundai, modelo=HB20S Copa do Mundo 1.6 Flex 16V Mec., ano=2014, renavam=29734014510, placa=DFC-6837, cor=Prata
marca=EFFA, modelo=ULC PICAPE Longa 1.0 8V 2p, ano=2010, renavam=29734014510, placa=DFC-6837, cor=Prata
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=60984066679, placa=DYC-4229, cor=Vermelho
marca=Chrysler, modelo=Caravan LE  3.3, ano=1993, renavam=29734014510, placa=DFC-6837, cor=Prata
marca=Lexus, modelo=LS 400 4.0, ano=1991, renavam=60984066679, placa=DYC-4229, cor=Vermelho
marca=RELY, modelo=VAN Q22 1.0 5p, ano=2013, renavam=29734014510, placa=DFC-6837, cor=Prata
marca=Mercedes-Benz, modelo=SL-65 AMG 6.0 V12 612cv Aut, ano=2008, renavam=58736994620, placa=CEA-3323, cor=Branco
marca=Saturn, modelo=SL-2 1.9, ano=1991, renavam=67526392526, placa=BKY-5431, cor=Dourado
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=67526392526, placa=BKY-5431, cor=Dourado
marca=Subaru, modelo=Impreza GT 2.0 Turbo, ano=1994, renavam=58736994620, placa=CEA-3323, cor=Branco
marca=Cadillac, modelo=Deville/Eldorado 4.9, ano=1991, renavam=48665144274, placa=DCR-3570, cor=Prata
marca=HAFEI, modelo=Towner Passageiro 1.0 8V 48cv 7L 5p, ano=2009, renavam=00328726125, placa=EXM-4981, cor=Laranja
marca=Agrale, modelo=MARRU, ano=2008, renavam=44218136724, placa=GKG-3932, cor=Cinza
marca=LOBINI, modelo=H1 1.8 20V Turbo 180cv 2p, ano=2005, renavam=48665144274, placa=DCR-3570, cor=Prata
marca=Mahindra, modelo=PIK-UP CS 2.2 4X4 (diesel) Mec., ano=2013, renavam=58736994620, placa=CEA-3323, cor=Branco
marca=Buggy, modelo=Buggy 1.6 2-Lug., ano=1988, renavam=24350355972, placa=CFL-6620, cor=Azul
marca=Fyber, modelo=Buggy 2000W 1.8 8V/ 1.8 8V Flex, ano=2004, renavam=86052972825, placa=DYJ-7525, cor=Cinza
marca=VW - VolksWagen, modelo=Fusca 2.0 R-Line TSI 16V Aut., ano=2014, renavam=48665144274, placa=DCR-3570, cor=Prata
marca=Porsche, modelo=911 Carrera Cabriolet 3.4/ 3.6 Tiptronic, ano=1999, renavam=86052972825, placa=DYJ-7525, cor=Cinza
marca=Pontiac, modelo=Trans-Sport SE 3.1, ano=1991, renavam=24350355972, placa=CFL-6620, cor=Azul
marca=BRM, modelo=Buggy/M-8/M-8 Long 1.6, ano=1985, renavam=77642633027, placa=DBJ-5679, cor=Marrom
marca=Walk, modelo=Buggy  Walk Sport 1.6 8V 58cv, ano=2005, renavam=77768538988, placa=ERJ-5927, cor=Prata
marca=AM Gen, modelo=Hummer Wagon 6.5 4x4 Diesel TB, ano=1998, renavam=60984066679, placa=DYC-4229, cor=Vermelho
marca=CBT Jipe, modelo=Javali 3.0 4x4 Diesel, ano=1988, renavam=60984066679, placa=DYC-4229, cor=Vermelho
marca=Alfa Romeo, modelo=145 Elegant 1.7/1.8 16V, ano=1996, renavam=24350355972, placa=CFL-6620, cor=Azul
marca=CHERY, modelo=CIELO 1.6 16V 119cv  5p, ano=2010, renavam=77642633027, placa=DBJ-5679, cor=Marrom
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=60984066679, placa=DYC-4229, cor=Vermelho
marca=Mercedes-Benz, modelo=C-180 CGI Sport 1.6 TB 16V 156cv Aut., ano=2013, renavam=39911605377, placa=DVH-1873, cor=Vermelho
marca=Troller, modelo=T-4 4x4 3.0 TB Int. Cap. Lona Diesel, ano=2006, renavam=60984066679, placa=DYC-4229, cor=Vermelho
marca=Envemo, modelo=Camper 2.5/GL/GLS/Master 4.1, ano=1990, renavam=01244027631, placa=BZZ-7126, cor=Verde
marca=RAM, modelo=2500 LARAMIE SLT 6.7 TDI  CD 4x4 Diesel, ano=2012, renavam=68842294189, placa=GJS-9071, cor=Azul
marca=Rolls-Royce, modelo=Phantom 6.7 V12 Aut., ano=2013, renavam=58736994620, placa=CEA-3323, cor=Branco
marca=Pontiac, modelo=Trans-Sport SE 3.1, ano=1991, renavam=60984066679, placa=DYC-4229, cor=Vermelho
marca=MINI, modelo=COOPER 1.6 Mec., ano=2007, renavam=58736994620, placa=CEA-3323, cor=Branco
marca=Bugre, modelo=Buggy VII/VII BIG, ano=2008, renavam=77768538988, placa=ERJ-5927, cor=Prata
marca=Suzuki, modelo=Grand Vitara Sport 2.0 16V Aut., ano=1999, renavam=39911605377, placa=DVH-1873, cor=Vermelho
marca=Matra, modelo=Pick-Up CD 4x2 Curto/Longo 2.5 TDI Dies., ano=2003, renavam=32874883880, placa=GHA-5760, cor=Azul
marca=Mahindra, modelo=SCORPIO GLX SUV 2.6 TB Diesel CRDe 4WD, ano=2008, renavam=96173777222, placa=FPT-2873, cor=Marrom
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=77768538988, placa=ERJ-5927, cor=Prata
marca=Ford, modelo=Ranger XL 2.8 8v 135cv 4x4 CS TB Diesel, ano=2002, renavam=85362703808, placa=BYG-2124, cor=Bege
marca=Bugre, modelo=Buggy VII/VII BIG, ano=2008, renavam=39911605377, placa=DVH-1873, cor=Vermelho
marca=Audi, modelo=S5 Cabriolet 3.0 TFSI Quattro Stronic, ano=2012, renavam=10000311089, placa=CXH-4572, cor=Dourado
marca=Honda, modelo=Civic Sed, ano=1992, renavam=68842294189, placa=GJS-9071, cor=Azul
marca=LAMBORGHINI, modelo=AVENTADOR LP 700-4, ano=2012, renavam=20126616480, placa=EML-4215, cor=Preto
marca=Mitsubishi, modelo=L200 Triton HPE 3.5 CD V6 24V Flex Aut., ano=2008, renavam=68842294189, placa=GJS-9071, cor=Azul
marca=CHERY, modelo=Tiggo 2.0 16V Aut. 5p, ano=2013, renavam=01244027631, placa=BZZ-7126, cor=Verde
marca=Cross Lander, modelo=CL-244 2.8 132cv 4x4 TB Int. Diesel, ano=2003, renavam=56350372182, placa=DNY-2864, cor=Branco
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=56350372182, placa=DNY-2864, cor=Branco
marca=BMW, modelo=640i Gran Coupe 3.0 320cv 4p, ano=2013, renavam=68842294189, placa=GJS-9071, cor=Azul
marca=LAMBORGHINI, modelo=AVENTADOR LP 700-4, ano=2012, renavam=01244027631, placa=BZZ-7126, cor=Verde
marca=Lotus, modelo=Elan S-2 1.6 16V, ano=1995, renavam=33534123658, placa=EEL-2489, cor=Verde
marca=RAM, modelo=2500 LARAMIE SLT TROPIV. 6.7 4x4 Diesel, ano=2012, renavam=94153701631, placa=BVW-7963, cor=Preto
marca=Mercedes-Benz, modelo=C-180 CGI Coupe Sport 1.6 TB 16V Aut., ano=2013, renavam=47445689281, placa=FGZ-6968, cor=Amarelo
marca=JPX, modelo=Picape Montez 1.9 4x4 Diesel, ano=1994, renavam=46445887786, placa=DPQ-7972, cor=Cinza
marca=Lada, modelo=Niva 1.6 RC/ Pantanal 4x4, ano=1991, renavam=49037905280, placa=CXA-7176, cor=Dourado
marca=Gurgel, modelo=Carajas/ Tocantis/ Xavante/ Vip, ano=1985, renavam=49037905280, placa=CXA-7176, cor=Dourado
marca=Peugeot, modelo=207 SW XR Sport 1.4 Flex 8V 5p, ano=2009, renavam=32874883880, placa=GHA-5760, cor=Azul
marca=smart, modelo=fortwo BRABUS coup, ano=2008, renavam=94955456663, placa=CAG-9069, cor=Marrom
marca=TAC, modelo=Stark 2.3 4WD 127cv TDI Diesel 3p, ano=2010, renavam=63413049530, placa=FJW-9869, cor=Amarelo
marca=Chrysler, modelo=Caravan LX 3.3 V6 182cv, ano=2005, renavam=32874883880, placa=GHA-5760, cor=Azul
marca=Jaguar, modelo=F-Type R AWD Supercharged Coupe 5.0 V8, ano=2016, renavam=20126616480, placa=EML-4215, cor=Preto
marca=Subaru, modelo=Forester 2.0 4x4 Turbo, ano=1999, renavam=56350372182, placa=DNY-2864, cor=Branco
marca=Seat, modelo=Ibiza 1.0 16v 4p, ano=2001, renavam=94153701631, placa=BVW-7963, cor=Preto
marca=Bugre, modelo=Buggy VII/VII BIG, ano=2008, renavam=63413049530, placa=FJW-9869, cor=Amarelo
marca=Lexus, modelo=GS 300 3.0 V6 24V, ano=1993, renavam=57346559964, placa=FAP-1859, cor=Bege
marca=ASTON MARTIN, modelo=Rapide S 6.0 V12 550cv, ano=2014, renavam=47566479741, placa=BSQ-1266, cor=Dourado
marca=Lexus, modelo=RX 300 3.0 V6 24V, ano=1999, renavam=62885208188, placa=FHC-0038, cor=Dourado
marca=Dodge, modelo=Ram 2500 TROPIVAN 5.9 SLT Exec.TDI Dies., ano=2010, renavam=71803439619, placa=BYL-2110, cor=Vermelho
marca=Ford, modelo=KA Street 1.0i, ano=1998, renavam=56804506324, placa=DJG-4348, cor=Amarelo
marca=Agrale, modelo=MARRU, ano=2007, renavam=58981992988, placa=EGX-1054, cor=Dourado
marca=Buggy, modelo=Buggy 1.6/ TST/ RS 1.6 4-Lug., ano=1985, renavam=71408963947, placa=CEL-7308, cor=Preto
marca=Mitsubishi, modelo=Lancer Evol. X J. Easton 2.0 16V TB Int., ano=2015, renavam=41466597166, placa=FUN-4965, cor=Dourado
marca=smart, modelo=fortwo passion coup, ano=2008, renavam=13872816216, placa=BUQ-9255, cor=Amarelo
marca=Rover, modelo=Mini Cooper 1.3, ano=1992, renavam=77989185581, placa=EBN-2298, cor=Prata
marca=Ferrari, modelo=355 GTS, ano=1995, renavam=69686968511, placa=DAH-2476, cor=Cinza
marca=JINBEI, modelo=TOPIC VAN STD 2.0 16V 4p, ano=2011, renavam=96413137303, placa=FIT-8617, cor=Amarelo
marca=JINBEI, modelo=TOPIC ESCOLAR L 2.2 8V/ 2.0 16V 4p, ano=2009, renavam=87063519700, placa=BLD-5806, cor=Branco
marca=Fyber, modelo=Buggy 2000W 1.8 8V/ 1.8 8V Flex, ano=2004, renavam=95721047307, placa=CFV-9755, cor=Azul
marca=CHERY, modelo=Celer Sedan ACT 1.5 16V Flex 5p, ano=2015, renavam=70535404981, placa=FBA-8099, cor=Vermelho
marca=Cross Lander, modelo=CL-244 2.8 132cv 4x4 TB Int. Diesel, ano=2003, renavam=53248029054, placa=EXT-6752, cor=Verde
marca=CHANA, modelo=Utility 1.0 8V 53cv  (Furg, ano=2005, renavam=97499297744, placa=KVV-6440, cor=Bege
marca=VW - VolksWagen, modelo=Polo Sedan I MOTION  1.6 Total Flex  4p, ano=2010, renavam=81058973563, placa=LUB-1826, cor=Bege
marca=Rolls-Royce, modelo=Wraith 6.6 V12 Aut., ano=2014, renavam=99337731755, placa=LFE-9851, cor=Azul
marca=MG, modelo=MG6 1.8 16V Turbo 170cv Aut., ano=2011, renavam=14334239958, placa=LOA-2331, cor=Verde
marca=Ferrari, modelo=360 Spider F1 400cv, ano=2001, renavam=99009531660, placa=KYQ-4694, cor=Vermelho
marca=Miura, modelo=Picape BG-Truck CD Turbo Diesel, ano=1993, renavam=01674313320, placa=LKU-9831, cor=Vermelho
marca=GREAT WALL, modelo=HOVER CUV 2.4 16V 4WD 5p Mec., ano=2007, renavam=82775664809, placa=LLD-3951, cor=Preto
marca=Acura, modelo=NSX 3.0, ano=1991, renavam=94477814253, placa=LUI-2895, cor=Verde
marca=Hyundai, modelo=Tucson 2.0 16V Mec., ano=2005, renavam=04697856138, placa=LFR-4570, cor=Azul
marca=MG, modelo=550 1.8 16V Turbo 170cv Aut., ano=2010, renavam=69397488650, placa=KUS-9781, cor=Amarelo
marca=Seat, modelo=Ibiza 1.0i 8v, ano=1994, renavam=42341459262, placa=LED-8149, cor=Prata
marca=Acura, modelo=Legend 3.2/3.5, ano=1991, renavam=85619030401, placa=LQY-1440, cor=Marrom
marca=Nissan, modelo=Sentra SV 2.0 Flex 16V Aut., ano=2014, renavam=99337731755, placa=LFE-9851, cor=Azul
marca=Volvo, modelo=XC 60 T-5 KINETIC 2.0 245cv FWD 5p, ano=2016, renavam=82775664809, placa=LLD-3951, cor=Preto
marca=LAMBORGHINI, modelo=Gallardo Coupe Superleggera LP570-4, ano=2010, renavam=61072216842, placa=KMY-6190, cor=Vermelho
marca=Fiat, modelo=Idea A.Ext./A..Ext.Loc.Dual. 1.8 Flex 5p, ano=2016, renavam=46077843035, placa=LLK-9528, cor=Bege
marca=MG, modelo=MG6 1.8 16V Turbo 170cv Aut., ano=2011, renavam=94300997459, placa=KVR-2652, cor=Bege
marca=JAC, modelo=J6 2.0 JET Flex 5p Mec., ano=2015, renavam=75407649133, placa=KWS-5526, cor=Dourado
marca=GM - Chevrolet, modelo=MONTANA Off Road 1.8 MPFI FlexPower 8V, ano=2004, renavam=19126247120, placa=LRE-2479, cor=Dourado
marca=Daewoo, modelo=Leganza CDX 2.0 16V Mec., ano=1997, renavam=56656108008, placa=KSP-0040, cor=Marrom
marca=Jeep, modelo=Cherokee Sport 2.5 4x4 Diesel, ano=1999, renavam=33184986520, placa=LFV-4023, cor=Laranja
marca=Wake, modelo=Way 1.8 Total Flex 8V Mec., ano=2009, renavam=63814820458, placa=KNE-1540, cor=Bege
marca=Daewoo, modelo=Tico, ano=1994, renavam=14185590020, placa=LAK-1335, cor=Vermelho
marca=MG, modelo=MG6 1.8 16V Turbo 170cv Aut., ano=2011, renavam=36431902926, placa=LCY-7174, cor=Bege
marca=Cross Lander, modelo=CL-244 2.8 132cv 4x4 TB Int. Diesel, ano=2003, renavam=71166020850, placa=KVI-3219, cor=Cinza
marca=Pontiac, modelo=Trans-Sport SE 3.1, ano=1991, renavam=92092114905, placa=KXD-5700, cor=Verde
marca=BMW, modelo=750i, ano=1991, renavam=67927431697, placa=KNO-1074, cor=Prata
marca=MG, modelo=550 1.8 16V Turbo 170cv Aut., ano=2010, renavam=31111526558, placa=KMZ-8744, cor=Azul
marca=CBT Jipe, modelo=Javali 3.0 4x4 Diesel, ano=1988, renavam=99009531660, placa=KYQ-4694, cor=Vermelho
marca=Suzuki, modelo=Jimny Wide/ Jimny/4ALL 1.3 16V, ano=1998, renavam=18549008198, placa=LMP-1313, cor=Vermelho
marca=Saab, modelo=9000 CD 2.3 Turbo, ano=1992, renavam=34578234208, placa=KXO-5184, cor=Preto
marca=Fiat, modelo=Ducato Combinato 2.8 Diesel, ano=1998, renavam=92417254662, placa=LOZ-3492, cor=Azul
marca=Maserati, modelo=Quattroporte Executive 4.2 32V 400cv, ano=2004, renavam=99009531660, placa=KYQ-4694, cor=Vermelho
marca=Citroen, modelo=Xsara GLX 1.6 16V 3p, ano=2001, renavam=85254082768, placa=LCZ-7996, cor=Marrom
marca=LIFAN, modelo=FOISON 1.3 16V 85cv 2p, ano=2014, renavam=42341459262, placa=LED-8149, cor=Prata
marca=Alfa Romeo, modelo=155, ano=1995, renavam=23596910362, placa=LIQ-1081, cor=Vermelho
marca=Mercedes-Benz, modelo=SLK-320 3.2 218cv, ano=2001, renavam=23596910362, placa=LIQ-1081, cor=Vermelho
marca=Ford, modelo=Royale GL 2.0i 2e4p / 2.0i / 2.0, ano=1992, renavam=35138282814, placa=KSG-2748, cor=Cinza
marca=Miura, modelo=Picape BG-Truck CD Turbo Diesel, ano=1993, renavam=71348348460, placa=KWZ-0081, cor=Branco
marca=Walk, modelo=Buggy  Walk Sport 1.6 8V 58cv, ano=2005, renavam=11604688739, placa=KPG-9455, cor=Preto
marca=LOBINI, modelo=H1 1.8 20V Turbo 180cv 2p, ano=2005, renavam=78470660313, placa=KXX-1793, cor=Azul
marca=Fibravan, modelo=Buggy Vip 1.6 8V Total Flex, ano=2007, renavam=14281121974, placa=LCP-9180, cor=Preto
marca=GREAT WALL, modelo=HOVER CUV 2.4 16V 5p Mec., ano=2008, renavam=02523509525, placa=KQU-3630, cor=Amarelo
marca=Porsche, modelo=911 Carrera 4 coupe 3.0 370cv, ano=2017, renavam=56386038681, placa=LFQ-2440, cor=Bege
marca=RELY, modelo=LINK 1.3 16V 5p, ano=2014, renavam=59010371567, placa=LJD-4842, cor=Dourado
marca=Mazda, modelo=Proteg, ano=1993, renavam=59010371567, placa=LJD-4842, cor=Dourado
marca=MINI, modelo=COOPER CABRIO John Works 1.6 Aut., ano=2014, renavam=59010371567, placa=LJD-4842, cor=Dourado
marca=Plymouth, modelo=Gran Voyager LE 2.5, ano=1992, renavam=59010371567, placa=LJD-4842, cor=Dourado
marca=AM Gen, modelo=Hummer Wagon 6.5 4x4 Diesel TB, ano=1998, renavam=59010371567, placa=LJD-4842, cor=Dourado
marca=Fyber, modelo=Buggy 2000W 1.6 8V, ano=2016, renavam=50070926774, placa=KTQ-7519, cor=Amarelo
marca=Audi, modelo=A3 1.8 Turbo 5p Mec., ano=1999, renavam=84743191359, placa=LFH-3287, cor=Verde
marca=Lexus, modelo=CT200h F-Sport 1.8 16V HIBRID Aut., ano=2013, renavam=86307756227, placa=LDM-7334, cor=Amarelo
marca=Chrysler, modelo=Neon LE/Highline 2.0, ano=1994, renavam=53491610158, placa=LUZ-2591, cor=Azul
marca=Ferrari, modelo=360 Spider F1 400cv, ano=2001, renavam=92417254662, placa=LOZ-3492, cor=Azul
marca=RAM, modelo=2500 LARAMIE SLT 6.7 TDI  CD 4x4 Diesel, ano=2012, renavam=95870332674, placa=LOA-7789, cor=Prata
marca=GM - Chevrolet, modelo=PRISMA Sed. LT 1.4 8V FlexPower 4p Aut., ano=2014, renavam=94730073147, placa=KWC-5913, cor=Laranja
marca=Envemo, modelo=Camper 2.5/GL/GLS/Master 4.1, ano=1990, renavam=48028895716, placa=KPU-9187, cor=Verde
marca=EFFA, modelo=V21 Pick-up CS 1.3 16V 2p, ano=2016, renavam=85254082768, placa=LCZ-7996, cor=Marrom
marca=Agrale, modelo=MARRU, ano=2008, renavam=23596910362, placa=LIQ-1081, cor=Vermelho
marca=Saturn, modelo=SL-2 1.9, ano=1991, renavam=71348348460, placa=KWZ-0081, cor=Branco
marca=Seat, modelo=Cordoba 1.6L, ano=1999, renavam=14281121974, placa=LCP-9180, cor=Preto
marca=JPX, modelo=Jipe Montez 4x4 CD Teto de Lona Diesel, ano=1994, renavam=32507686940, placa=KOT-4641, cor=Azul
marca=Daihatsu, modelo=Charade TX 1.3 16V, ano=1995, renavam=76909194378, placa=KQF-5339, cor=Laranja
marca=Mazda, modelo=B2200 Pick-Up 2.2 Diesel, ano=1993, renavam=19352927977, placa=LNK-4333, cor=Prata
marca=Wake, modelo=Way 1.8 Total Flex 8V Mec., ano=2009, renavam=71348348460, placa=KWZ-0081, cor=Branco
marca=Daihatsu, modelo=Move Van, ano=1996, renavam=50481633576, placa=LHG-2982, cor=Azul
marca=Engesa, modelo=Engesa 4x4 2.5/4.1, ano=1985, renavam=82161844507, placa=LQH-1347, cor=Azul
marca=LAMBORGHINI, modelo=Gallardo Coupe LP570-4 Sup.Trof.Stradale, ano=2012, renavam=76909194378, placa=KQF-5339, cor=Laranja
marca=Asia Motors, modelo=Towner Panel Van, ano=1994, renavam=98283066122, placa=KVL-6082, cor=Preto
marca=Mercury, modelo=Mystique GS 2.5 V6 Mec., ano=1995, renavam=40426096516, placa=KXO-8344, cor=Azul
marca=Rover, modelo=Mini Cooper 1.3, ano=1992, renavam=33167215228, placa=LBX-1289, cor=Cinza
marca=Mazda, modelo=626 Sedan Mec., ano=2000, renavam=95870332674, placa=LOA-7789, cor=Prata
marca=Acura, modelo=NSX 3.0, ano=1991, renavam=74963227380, placa=KPL-9181, cor=Bege
marca=RAM, modelo=2500 LARAMIE SLT 6.7 TDI  CD 4x4 Diesel, ano=2012, renavam=75306118000, placa=KQM-3101, cor=Dourado
marca=Subaru, modelo=Impreza GL 4x4 2.0 16V, ano=1995, renavam=19352927977, placa=LNK-4333, cor=Prata
marca=Fibravan, modelo=Buggy Vip 1.6 8V Total Flex, ano=2007, renavam=19352927977, placa=LNK-4333, cor=Prata
marca=Audi, modelo=S3 Sportback 2.0 TFSI Quattro S Tronic, ano=2010, renavam=57694805975, placa=LBI-3983, cor=Cinza
marca=Saab, modelo=9000 CD 2.3 Turbo, ano=1992, renavam=29917882278, placa=LUV-2264, cor=Laranja
marca=Daihatsu, modelo=Applause DLX 1.6 16V, ano=1994, renavam=57694805975, placa=LBI-3983, cor=Cinza
marca=Peugeot, modelo=407 SW Feline 3.0 V6 211cv 5p Aut., ano=2007, renavam=48899801085, placa=KOU-6325, cor=Branco
marca=Volvo, modelo=XC 60 T-5 KINETIC 2.0 245cv FWD 5p, ano=2016, renavam=20904174535, placa=LOC-8654, cor=Verde
marca=Jaguar, modelo=X-Type SE 2.5 V6 194cv, ano=2001, renavam=99161871770, placa=LQY-3656, cor=Preto
marca=Seat, modelo=Ibiza SXE / GLX 1.8, ano=1995, renavam=98283066122, placa=KVL-6082, cor=Preto
marca=CHANGAN, modelo=MINI STAR CS 1.0 8V 53cv (Pick-Up), ano=2011, renavam=39025983674, placa=LHS-6200, cor=Prata
marca=LIFAN, modelo=320 ELITE 1.3 16V 88cv 5p, ano=2009, renavam=86525994278, placa=LSS-5587, cor=Amarelo
marca=RAM, modelo=2500 LARAMIE SLT TROPIV. 6.7 4x4 Diesel, ano=2012, renavam=98283066122, placa=KVL-6082, cor=Preto
marca=Mercedes-Benz, modelo=C-280 Elegance, ano=1993, renavam=48899801085, placa=KOU-6325, cor=Branco
marca=Rover, modelo=Mini Cooper 1.3, ano=1992, renavam=74963227380, placa=KPL-9181, cor=Bege
marca=Miura, modelo=Picape BG-Truck CD Turbo Diesel, ano=1993, renavam=74963227380, placa=KPL-9181, cor=Bege
marca=FOTON, modelo=AUMARK 3.5 - 11DT 2.8 4x2 TB Diesel, ano=2014, renavam=74963227380, placa=KPL-9181, cor=Bege
marca=Renault, modelo=Master 2.5 dCi Escolar 115cv 16/19L Dies, ano=2008, renavam=91141234680, placa=KUJ-5879, cor=Dourado
marca=Mercury, modelo=Mystique GS 2.5 V6 Mec., ano=1995, renavam=74963227380, placa=KPL-9181, cor=Bege
marca=Renault, modelo=Sc, ano=2004, renavam=50507928039, placa=LAO-7720, cor=Vermelho
marca=Fibravan, modelo=Buggy Vip 1.8 8V, ano=2006, renavam=86525994278, placa=LSS-5587, cor=Amarelo
marca=Toyota, modelo=Hilux CD SRV 4x4 2.7 Flex 16V Aut., ano=2012, renavam=82539918657, placa=KTC-1668, cor=Verde
marca=Renault, modelo=SYMBOL Expression Hi-Flex 1.6 16V 4p, ano=2009, renavam=86525994278, placa=LSS-5587, cor=Amarelo
marca=Walk, modelo=Buggy  Walk Sport 1.6 8V 58cv, ano=2005, renavam=17260690923, placa=KUR-3621, cor=Preto
marca=Maserati, modelo=Quattroporte S 4.7 V8 32V 430cv, ano=2009, renavam=72321940382, placa=LFV-8979, cor=Verde
marca=Citroen, modelo=C4 Competition 2.0 Flex 16V 5p Aut., ano=2010, renavam=16896196476, placa=LTP-9825, cor=Vermelho
marca=Hyundai, modelo=Excel LS/ GL, ano=1992, renavam=74963227380, placa=KPL-9181, cor=Bege
marca=Fiat, modelo=Palio Weekend Stile 1.6 mpi 16V 4p, ano=1997, renavam=50507928039, placa=GWR-7720, cor=Vermelho
marca=Lexus, modelo=IS-250 F Sport 2.5 24V 208cv Aut., ano=2014, renavam=61623373434, placa=HGG-7528, cor=Cinza
marca=Mercedes-Benz, modelo=CLK-500 Cabriolet V8 24V 306cv, ano=2005, renavam=50507928039, placa=GWR-7720, cor=Vermelho
marca=VW - VolksWagen, modelo=Passat 2.8 V6 Mec., ano=1998, renavam=42203034630, placa=HAU-5628, cor=Preto
marca=MG, modelo=550 1.8 16V Turbo 170cv Aut., ano=2010, renavam=84118844408, placa=HKE-6563, cor=Azul
marca=RELY, modelo=VAN Q22 1.0 5p, ano=2013, renavam=50507928039, placa=GWR-7720, cor=Vermelho
marca=Cadillac, modelo=Seville 4.6, ano=1991, renavam=50507928039, placa=GWR-7720, cor=Vermelho
marca=Rolls-Royce, modelo=Ghost 6.6 V12 Aut., ano=2011, renavam=94731852514, placa=HLB-4195, cor=Cinza
